"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-04","78","83","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-05","77","88","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-06","83","95","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-07","80","83","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-08","76","81","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-09","69","77","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-10","72","85","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-11","75","79","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-12","69","77","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-13","72","79","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-14","72","77","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-15","71","79","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-16","71","81","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-17","71","82","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-18","72","84","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-19","76","86","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-20","72","77","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-21","73","79","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-22","73","85","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-23","73","85","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-24","76","85","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-25","73","81","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-26","72","78","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-27","70","83","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-28","77","89","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-29","76","85","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-30","74","80","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-08-31","72","85","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-01","77","88","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-02","78","86","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-03","77","88","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-04","70","73","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-05","68","70","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-06","71","80","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-07","71","81","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-08","72","84","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-09","73","84","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-10","74","84","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-11","69","71","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-12","59","67","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-13","66","78","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-14","68","79","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-15","69","81","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-16","73","82","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-17","76","85","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-18","77","85","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-19","73","78","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-20","72","86","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-21","78","85","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-22","61","64","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-23","56","64","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-24","60","71","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-25","61","68","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-26","57","64","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-27","53","61","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2022-09-28","52","61","45"
